Program Name,Program Type,Size in Bytes
db4-entities.pl,Perl script text executable,1110
dbicadmin,Perl script text executable,7182
dbicdump,Perl script text executable,5156
dbilogstrip,Perl script text executable,1380
dbiprof,Perl script text executable,6206
ddupdate,Python script,350
ddupdate-config,Python script,402
debinhex.pl,Perl script text executable,5792
diff-jars,Bourne-Again shell script,1238
diffpp,Perl script text executable,4548
disco,a /usr/bin/sh script,80
dislocate,OS/2 REXX batch file,7942
distro,Python script,953
dm_date,Perl script text executable,5513
dm_zdump,Perl script text executable,5109
dmypy,Python script,945
dnf-3,Python script,1942
dnfdragora,Python script,5358
dnfdragora-updater,Python script,2203
docbook2html,a /usr/bin/sh script,41
docbook2man,a /usr/bin/sh script,40
docbook2rtf,a /usr/bin/sh script,40
docbook2tex,a /usr/bin/sh script,40
docbook2texi,a /usr/bin/sh script,41
docbook2txt,a /usr/bin/sh script,40
doesitcache,Python script,984
dotenv,Python script,977
dotty,a /usr/bin/sh script,2089
dracut,Bourne-Again shell script,78558
dtrace,Python script,17065
dumpcpandist,Perl script text executable,1229
dvipdft,a /usr/bin/sh script,2692
easy_install,Python script,230
easy_install-3.9,Python script,230
ebappendix,Perl script text executable,30178
ef,Bourne-Again shell script,409
egrep,a /usr/bin/sh script,32
emacs-terminal,a /usr/bin/sh script,66
emacspeak,a /usr/bin/sh script,925
enc2xs,Perl script text executable,41663
encguess,Perl script text executable,2989
eps2eps,a /usr/bin/sh script,643
epylint-3.9,Python script,955
erb,Ruby script,5060
esmtp-wrapper,Bourne-Again shell script,3378
eu-make-debug-archive,a /usr/bin/sh script,2915
exo-preferred-applications,a /usr/bin/sh script,285
external-ip,a /usr/bin/sh script,165
extractres,Perl script text executable,3411
f2py,Python script,949
f2py3,Python script,951
f2py3.9,Python script,955
fbsetbg,a /usr/bin/sh script,17018
fc,a /usr/bin/sh script,30
fc-cache,a /usr/bin/sh script,139
fg,a /usr/bin/sh script,30
fgrep,a /usr/bin/sh script,32
find-jar,Bourne-Again shell script,696
find2mas6x,a /usr/bin/sh script,473
find2mass,a /usr/bin/sh script,907
find2mass6x,a /usr/bin/sh script,444
find2massi,a /usr/bin/sh script,907
find_cats,a /usr/bin/csh -f script,2391
find_gen,a /usr/bin/sh script,3523
find_gen1,a /usr/bin/sh script,4147
findacro,a /usr/bin/csh -f script,1036
findcat,a /usr/bin/sh script,925
findcfhtd,a /usr/bin/sh script,483
findcfhtw,a /usr/bin/sh script,483
findcmc14,a /usr/bin/sh script,762
findcmc15,a /usr/bin/sh script,482
findenis,a /usr/bin/sh script,2103
findenis1,a /usr/bin/sh script,2103
findenis2,a /usr/bin/sh script,2103
findenis3,a /usr/bin/sh script,2103
findgalex5a,a /usr/bin/sh script,539
findgalex5m,a /usr/bin/sh script,539
findglimpse,a /usr/bin/sh script,1083
findgsc,a /usr/bin/sh script,2667
findgsc1.1,a /usr/bin/sh script,2667
findgsc1.2,a /usr/bin/sh script,2667
