Program Name,Program Type,Size in Bytes
pylupdate5,a /usr/bin/sh script,293
mdassembler,a /usr/bin/sh script,299
timed-read,a /usr/bin/sh script,307
vimiv,Python script,309
build-classpath-directory,Bourne-Again shell script,313
pygtk-codegen-2.0,a /usr/bin/sh script,314
update-gtk-immodules,a /usr/bin/sh script,316
python-argcomplete-tcsh,a /usr/bin/sh script,318
gcl,Lisp/Scheme program,335
pkg-config,a /usr/bin/sh script,335
thunar-settings,a /usr/bin/sh script,337
powerline-lint,Python script,343
gem,Ruby script,348
ddupdate,Python script,350
unicode_stop,a /usr/bin/sh script,367
clanlib-config,a /usr/bin/sh script,373
unopkg,a /usr/bin/sh script,374
libreoffice,a /usr/bin/sh script,376
alembic-3,Python script,382
python3-autopep8,Python script,387
set-default-locale,Python script,393
ddupdate-config,Python script,402
ef,Bourne-Again shell script,409
pyvenv-3.6,Python script,435
pyvenv-3.7,Python script,435
moose-outdated,Perl script text executable,436
findurat1,a /usr/bin/sh script,439
findmc2,a /usr/bin/sh script,440
findsage,a /usr/bin/sh script,441
find2mass6x,a /usr/bin/sh script,444
findmc_irsf,a /usr/bin/sh script,447
findwise_pre,a /usr/bin/sh script,448
require-perl-tags,Perl script text executable,454
cpanp-run-perl,Perl script text executable,468
findigsl,a /usr/bin/sh script,472
find2mas6x,a /usr/bin/sh script,473
nemo-preview,a /usr/bin/sh script,474
findiphas2,a /usr/bin/sh script,480
findviking1,a /usr/bin/sh script,481
findcmc15,a /usr/bin/sh script,482
findcfhtd,a /usr/bin/sh script,483
findcfhtw,a /usr/bin/sh script,483
findudxs8,a /usr/bin/sh script,484
findudxs9,a /usr/bin/sh script,484
findugcs8,a /usr/bin/sh script,484
findugcs9,a /usr/bin/sh script,484
findugps6,a /usr/bin/sh script,484
findulas7,a /usr/bin/sh script,484
findulas8,a /usr/bin/sh script,484
findulas9,a /usr/bin/sh script,484
src-hilite-lesspipe.sh,a /usr/bin/sh script,493
irb,Ruby script,504
rlogin-cwd,a /usr/bin/sh script,505
ri,Ruby script,506
gendiff,a /usr/bin/sh script,507
rdoc,Ruby script,510
stemmer-no,Perl script text executable,517
stemmer-se,Perl script text executable,517
bundle,Ruby script,526
bundler,Ruby script,528
findgalex5a,a /usr/bin/sh script,539
findgalex5m,a /usr/bin/sh script,539
findtyc2,a /usr/bin/sh script,542
findwise,a /usr/bin/sh script,557
findwise0,a /usr/bin/sh script,557
findwisep,a /usr/bin/sh script,557
redhat_lsb_init,Bourne-Again shell script,576
powerline-config,Python script,582
openbox-session,a /usr/bin/sh script,585
cinnamon-menu-editor,Python script,590
rst2html,Python script,597
rst2man,Python script,602
rst2pseudoxml,Python script,604
rst2xml,Python script,605
upload-system-info,Python script,605
rhino,a /usr/bin/sh script,610
xfce4-set-wallpaper,Bourne-Again shell script,613
make-dummy-cert,a /usr/bin/sh script,614
