Program Name,Program Type,Size in Bytes
pdfmom,Perl script text executable,3100
perl-tags,Perl script text executable,1177
perlbug,Perl script text executable,44863
perlcritic,Perl script text executable,41018
perldoc,Perl script text executable,118
perlivp,Perl script text executable,10813
perlthanks,Perl script text executable,44863
perltidy,Perl script text executable,166206
piconv,Perl script text executable,8271
pl2pm,Perl script text executable,4533
plackup,Perl script text executable,7397
pod2html,Perl script text executable,4134
pod2man,Perl script text executable,15034
pod2texi,Perl script text executable,19843
pod2text,Perl script text executable,10803
pod2usage,Perl script text executable,4107
podchecker,Perl script text executable,3658
podlint,Perl script text executable,1537
podselect,Perl script text executable,2527
podspell,Perl script text executable,1248
pom2,Perl script text executable,3891
pomdump,Perl script text executable,1240
POST,Perl script text executable,16200
probe,Perl script text executable,2170
prove,Perl script text executable,13562
psjoin,Perl script text executable,5218
ptar,Perl script text executable,3470
ptardiff,Perl script text executable,2549
ptargrep,Perl script text executable,4299
ptked,Perl script text executable,7956
ptksh,Perl script text executable,18572
re.pl,Perl script text executable,106
require-perl-tags,Perl script text executable,454
require-perl-tags-packed,Perl script text executable,85716
roff2dvi,Perl script text executable,5721
roff2html,Perl script text executable,5721
roff2pdf,Perl script text executable,5721
roff2ps,Perl script text executable,5721
roff2text,Perl script text executable,5721
roff2x,Perl script text executable,5721
scandeps.pl,Perl script text executable,6652
sensors-conf-convert,Perl script text executable,13647
sgmldiff,Perl script text executable,15070
sgmlspl,Perl script text executable,9656
shasum,Perl script text executable,9892
shell-quote,Perl script text executable,5473
sliceprint,Perl script text executable,2039
splain,Perl script text executable,19411
sqlt,Perl script text executable,12271
sqlt-diagram,Perl script text executable,5553
sqlt-diff,Perl script text executable,6682
sqlt-diff-old,Perl script text executable,19114
sqlt-dumper,Perl script text executable,3287
sqlt-graph,Perl script text executable,8242
starman,Perl script text executable,9302
stemmer-da,Perl script text executable,286
stemmer-no,Perl script text executable,517
stemmer-se,Perl script text executable,517
streamzip,Perl script text executable,5587
tab2graph,Perl script text executable,4854
tablify,Perl script text executable,12989
tabmerge,Perl script text executable,10091
texi2any,Perl script text executable,50132
text-vimcolor,Perl script text executable,10555
tkjpeg,Perl script text executable,1402
tpage,Perl script text executable,9068
ttree,Perl script text executable,39138
urifind,Perl script text executable,7272
use-devel-assertos,Perl script text executable,5193
w3mman,Perl script text executable,1204
xgettext.pl,Perl script text executable,6561
xpath,Perl script text executable,4857
xscreensaver-getimage-file,Perl script text executable,40308
xscreensaver-getimage-video,Perl script text executable,4267
xscreensaver-text,Perl script text executable,27716
xsubpp,Perl script text executable,5080
zipdetails,Perl script text executable,57313
2ping,Python script,942
2ping6,Python script,944
2to3,Python script,95
2to3-3.5,Python script,95
abrt,Python script,1328
abrt-action-analyze-core,Python script,4613
abrt-action-analyze-vmcore,Python script,2597
abrt-action-check-oops-for-alt-component,Python script,1926
abrt-action-check-oops-for-hw-error,Python script,6551
abrt-action-find-bodhi-update,Python script,5587
abrt-action-install-debuginfo,Python script,12989
abrt-action-list-dsos,Python script,3717
abrt-action-notify,Python script,7225
abrt-action-perform-ccpp-analysis,Python script,3289
abrt-handle-upload,Python script,8889
activate-global-python-argcomplete,Python script,3462
alembic-3,Python script,382
anaconda-cleanup,Python script,2744
analog,Python script,8099
audit2allow,Python script,15197
black,Python script,224
blackd,Python script,225
blivet-gui,Python script,3647
blivet-gui-daemon,Python script,3109
cairosvg,Python script,963
caribou-preferences,Python script,2259
catfish,Python script,1481
chardetect,Python script,964
chcat,Python script,13843
cinnamon-desktop-editor,Python script,287
cinnamon-file-dialog,Python script,2220
